gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,39,No,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),74.0,2958.87,1
Male,0,Yes,No,50,No,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Two year,Yes,Credit card (automatic),45.29,2228.87,0
Female,1,Yes,No,13,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Credit card (automatic),61.67,858.68,0
Male,0,No,No,36,Yes,Yes,No,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,58.68,2063.04,0
Male,0,Yes,No,35,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),109.43,3763.45,1
Male,0,Yes,Yes,50,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.72,4471.06,1
Male,0,No,No,43,No,No phone service,DSL,Yes,No,Yes,No internet service,No,No,Two year,No,Electronic check,97.86,4151.11,0
Male,0,No,No,39,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Credit card (automatic),59.67,2261.97,0
Male,0,No,No,70,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),22.28,1601.52,0
Female,0,No,No,41,No,No phone service,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.58,3774.34,1
Female,0,No,Yes,16,No,No phone service,DSL,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,No,Mailed check,52.85,913.7,1
Male,0,Yes,No,16,No,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,93.73,1540.85,0
Male,1,No,No,5,Yes,Yes,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,23.29,131.39,1
Male,0,No,No,57,No,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,71.45,4081.94,0
Female,0,No,No,64,No,No phone service,No,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,29.18,1877.01,0
Female,0,Yes,No,38,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),106.68,3945.56,0
Male,1,No,Yes,9,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Electronic check,41.22,375.38,0
Female,0,No,No,26,No,No phone service,No,No,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,64.73,1622.15,0
Male,0,No,Yes,31,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),65.35,2038.52,1
Female,0,Yes,Yes,42,No,No phone service,No,No internet service,No,No,No,Yes,No internet service,One year,Yes,Mailed check,34.79,1417.01,0
Male,0,No,Yes,23,Yes,No,No,No,No,No internet service,Yes,No,Yes,One year,No,Bank transfer (automatic),14.29,370.71,0
Male,0,No,Yes,40,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),118.09,4734.87,0
Male,0,Yes,Yes,62,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,54.49,3280.07,1
Female,0,No,No,68,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,70.27,4722.42,0
Male,0,No,No,63,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,55.45,3493.06,1
Male,0,No,Yes,44,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),132.97,5881.16,0
Male,1,Yes,Yes,43,No,No phone service,No,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),44.58,1958.89,1
Male,0,Yes,No,69,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,65.17,4551.15,1
Female,1,Yes,Yes,2,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),79.53,189.13,0
Male,1,Yes,No,55,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,73.14,3934.55,0
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,65.22,2662.0,1
Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,48.05,1423.61,0
Female,1,Yes,No,38,No,No phone service,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.78,1610.79,0
Male,0,Yes,Yes,18,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.42,938.27,0
Female,0,Yes,No,33,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),112.32,3701.45,0
Female,0,Yes,Yes,11,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,96.0,1050.11,1
Male,1,Yes,No,39,Yes,Yes,No,No internet service,No,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,85.46,3381.34,0
Female,0,No,Yes,42,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),45.12,1937.33,0
Female,1,Yes,Yes,13,No,No phone service,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,84.21,1034.96,1
Male,0,Yes,Yes,16,No,No phone service,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,50.69,929.48,0
Male,0,No,No,21,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),66.09,1451.59,0
Female,0,No,No,16,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),49.67,830.73,0
Male,0,No,No,46,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,132.15,6149.92,1
Female,0,Yes,No,27,No,No phone service,No,Yes,Yes,Yes,Yes,No internet service,No internet service,One year,No,Credit card (automatic),55.26,1609.71,0
Male,0,Yes,Yes,59,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,98.92,5885.27,1
Male,1,No,Yes,21,No,No phone service,DSL,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Mailed check,93.88,1842.81,0
Male,0,Yes,No,16,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),43.95,736.41,1
Female,0,No,No,45,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Two year,Yes,Electronic check,59.49,2723.44,0
Female,0,No,Yes,51,Yes,No,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,97.99,5020.11,1
Female,1,Yes,No,47,No,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,140.28,6591.39,0
Male,1,No,No,10,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,77.39,723.43,0
Female,0,No,No,13,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,76.62,903.39,1
Female,0,No,Yes,9,Yes,No,DSL,Yes,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,59.56,552.94,0
Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Mailed check,59.28,2576.83,0
Male,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,58.25,3722.43,0
Female,0,Yes,Yes,67,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,82.12,5493.34,0
Female,0,Yes,No,65,Yes,No,No,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.07,6318.52,0
Female,0,No,Yes,21,No,No phone service,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,6.31,181.28,1
Female,0,Yes,No,64,Yes,No,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,79.47,5019.22,1
Male,0,No,No,2,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),129.93,311.81,0
Male,0,No,No,36,No,No phone service,No,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,22.43,728.04,0
Female,1,Yes,Yes,11,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),68.97,740.52,1
Male,0,No,Yes,33,Yes,No,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.88,1338.72,0
Female,0,No,Yes,4,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),65.46,281.16,1
Female,0,Yes,No,26,No,No phone service,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,41.15,1093.19,0
Female,0,Yes,No,42,No,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,93.07,3849.31,0
Female,0,Yes,Yes,36,Yes,No,DSL,Yes,No internet service,No,No,No,No,One year,Yes,Mailed check,102.62,3683.2,0
Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),81.7,3119.27,1
Female,0,No,Yes,9,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,107.33,888.53,0
Male,0,Yes,Yes,34,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,75.08,2500.29,0
Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),99.95,5233.85,0
Female,0,No,No,8,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),128.17,965.57,1
Female,0,No,No,24,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),73.03,1784.23,0
Female,0,No,Yes,12,No,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,55.07,692.86,0
Female,0,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),119.55,8370.98,0
Female,0,No,No,5,No,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Two year,Yes,Bank transfer (automatic),125.91,638.99,0
Male,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),123.56,3953.05,0
Female,1,No,Yes,56,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),56.13,3168.39,0
Female,0,Yes,Yes,70,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No,One year,No,Electronic check,94.19,6694.5,1
Female,0,Yes,Yes,7,No,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.37,730.47,0
Male,0,Yes,No,18,No,No phone service,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),85.11,1476.17,1
Female,0,No,No,5,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,112.55,573.52,1
Male,0,No,Yes,13,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.54,885.94,0
Female,0,No,Yes,36,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.29,3995.28,1
Male,1,Yes,Yes,56,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,No,One year,No,Electronic check,17.67,974.31,0
Male,0,No,No,36,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,122.64,4410.81,1
Female,0,No,Yes,65,No,No phone service,No,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),42.41,2782.45,0
Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,Yes,Mailed check,82.6,822.27,0
Male,0,No,No,61,Yes,No,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,115.34,7065.23,0
Male,1,Yes,No,18,No,No phone service,No,No,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),102.79,1919.63,0
Male,1,No,Yes,39,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.85,2811.13,0
Female,0,Yes,Yes,7,Yes,Yes,No,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),36.15,173.82,1
Female,1,Yes,Yes,68,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),51.25,3474.25,0
Male,0,Yes,No,53,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,Two year,No,Electronic check,91.3,4873.81,0
Female,0,No,Yes,18,No,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,48.8,905.82,0
Female,1,No,Yes,17,No,No phone service,Fiber optic,No,No internet service,No,Yes,No,No,One year,Yes,Bank transfer (automatic),66.22,1126.14,0
Male,0,No,Yes,30,No,No phone service,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,96.88,2961.82,1
Female,0,No,No,64,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),142.06,9129.81,1
Male,0,No,Yes,25,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),45.18,1157.88,0
Female,0,No,No,65,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Two year,No,Credit card (automatic),91.42,5920.21,0
Male,1,No,Yes,70,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Mailed check,128.91,9081.1,0
Female,0,Yes,No,32,No,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,103.7,3298.42,0
Female,1,Yes,Yes,29,No,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,90.19,2630.73,0
Male,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,88.04,3092.44,1
Male,1,Yes,No,67,No,No phone service,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.06,4922.65,1
Female,1,No,No,37,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,26.14,959.83,0
Female,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.48,1904.86,1
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),101.89,6675.24,0
Female,0,Yes,Yes,39,No,No phone service,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,25.23,1003.07,1
Female,0,Yes,Yes,45,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),47.47,2193.98,0
Male,0,Yes,No,27,No,No phone service,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.63,3130.55,1
Female,0,No,Yes,36,No,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.61,1811.78,0
Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,57.89,1161.1,0
Female,1,No,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),76.08,4424.74,1
Female,0,No,No,71,Yes,No,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Credit card (automatic),100.3,7185.7,0
Male,1,No,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),110.07,6100.11,0
Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),146.1,6630.47,1
Female,1,Yes,No,68,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.71,6767.07,1
Male,0,No,Yes,8,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),22.55,179.38,0
Male,0,No,No,18,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,68.46,1296.66,1
Male,1,No,Yes,43,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),105.84,4561.42,0
Male,0,No,No,17,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,31.98,531.11,0
Male,0,Yes,No,10,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),72.26,747.54,1
Male,0,No,Yes,40,No,No phone service,No,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.5,1957.4,0
Male,0,Yes,No,54,No,No phone service,DSL,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),113.74,6094.72,0
Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),32.87,1095.91,0
Male,0,Yes,No,38,No,No phone service,No,Yes,No internet service,No,Yes,Yes,Yes,Two year,Yes,Electronic check,84.22,3194.65,0
Male,1,Yes,No,41,No,No phone service,DSL,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),30.18,1219.32,1
Female,0,No,No,46,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,85.58,3881.75,1
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),76.42,1168.36,1
Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),75.28,1738.97,0
Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),129.06,718.73,1
Female,0,Yes,Yes,64,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),89.95,5792.38,1
Female,0,No,Yes,40,No,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.45,3225.24,0
